자치구,법정동,사업구분,운영구분,추진위원회/조합명,대표지번,진행단계,상태,토지등 소유자 수,정비구역명칭,정비구역위치,정비구역면적(㎡),건축연면적(㎡)
마포구,아현동,재개발(주택정비형),조합,아현3구역 주택재개발정비사업 조합(뉴타운),아현동 635,조합해산,운영,0,아현 제3구역 주택재개발정비사업,마포구 아현동 635번지,207508.3,5824773.86
마포구,염리동,재개발(주택정비형),조합,염리제3구역주택재개발정비사업조합(뉴타운),염리동 507,조합해산,운영,1105,염리제3 주택재개발정비사업,마포구 염리동 507번지 일원,87952.2,878.4
마포구,공덕동,재개발(주택정비형),조합,공덕7구역 주택정비형 재개발사업,공덕동 115-97,조합설립인가,운영,0,,,,
마포구,망원동,재개발(주택정비형),공공지원자,망원동 신속통합기획 후보지,망원동 416-53,정비계획 수립,운영,1237,,,,
마포구,염리동,재개발(주택정비형),공공지원자,염리동 488-14번지 일대 정비계획 수립 및 정비구역 지정 진행 지역,염리동 488-14,정비계획 수립,운영,647,,,,
마포구,아현동,재개발(주택정비형),조합,아현제4 주택재개발정비사업 조합,아현동 380,준공인가,운영,863,아현제4구역주택재개발정비사업조합,마포구 아현동 380번지,64357.7,
마포구,염리동,재개발(주택정비형),조합,염리2구역 주택재개발정비사업 조합(뉴타운),염리동 45,조합해산,운영,509,염리제2주택재개발구역,마포구 염리동 45번지,51748.3,148603.41
마포구,도화동,재개발(주택정비형),조합,마포로1구역 제10지구 도시정비형 재개발사업 조합,도화동 536,사업시행인가,운영,162,마포로1구역 제10지구 도시정비형 재개발사업 ,마포구 도화동 536,3280.5,44403.7
마포구,공덕동,재개발(주택정비형),조합,공덕6구역 주택재개발 정비사업,공덕동 119,사업시행인가,운영,66,공덕 제6주택재개발정비구역,마포구 공덕동 119번지,11301.4,26569.94
마포구,공덕동,재개발(주택정비형),공공지원자,공덕8구역 주택정비형 재개발사업,공덕동 11-24,정비계획 수립,운영,0,공덕동 11-24 일대 주택정비형 재개발사업,마포구 공덕동 11-24,84389,237594.54
마포구,염리동,재개발(주택정비형),추진위원회,염리5구역 주택재개발 조합설립추진위원회(뉴타운),염리동 105,조합설립추진위원회승인,일시중단,574,염리5구역 주택재개발정비사업 조합설립추진위원회,마포구 염리동 105  ,81426,187796.73
